label,clients,pipeline,get_ratio,requests,seconds,req_per_s,p50_us,p90_us,p99_us,p999_us,errors
thread-per-conn / 64 shards,50,1,0.90,1000000,4.647,215207,231.7,250.8,275.7,373.0,0
poll x10 / 64 shards,50,1,0.90,1000000,4.895,204302,171.5,360.2,1051.9,2842.9,0
poll x10 / 1 shard (global lock),50,1,0.90,1000000,5.074,197064,174.3,397.5,1068.8,2830.9,0
thread-per-conn / 1 shard,50,1,0.90,1000000,4.673,214008,231.8,252.2,289.0,536.6,0
poll x10 / 64 shards / pipeline 32,50,32,0.90,4000000,0.951,4205411,194.5,552.2,1078.9,1733.1,0
poll x10 / 1 shard / pipeline 32,50,32,0.90,4000000,3.240,1234565,545.4,2471.0,9014.9,16305.5,0
thread-per-conn / 64 shards / pipeline 32,50,32,0.90,4000000,0.787,5085514,175.3,497.7,1066.0,18648.1,0
poll x10 / 500 clients,500,1,0.90,1000000,5.024,199062,1775.0,4055.3,9096.5,20935.1,0
thread-per-conn / 500 clients,500,1,0.90,1000000,4.774,209479,2377.4,2438.7,2619.0,3006.3,0
poll / aof everysec / 50% writes,50,1,0.50,500000,2.721,183755,156.5,492.0,992.4,1542.2,0
poll / aof always / 50% writes,50,1,0.50,500000,5.986,83530,389.4,981.3,1784.3,2461.1,0
poll / no aof / 50% writes,50,1,0.50,500000,2.427,206039,170.8,371.7,939.4,2191.3,0
